month,10-Jahres-Minimum,10-Jahres-Maximum,J-3,J-2,LetztesJahr,DiesesJahr,Durchschnitt10Jahre
1,152.93963001539595,256.16879532303113,251.65104882873075,255.08129860509854,207.76643444621718,191.39259813158708,221.57925561025885
2,113.20254414193215,328.6305101533432,179.0185217480802,230.4593000654088,113.20254414193215,162.97902716859522,203.29151613405
3,101.11339385003907,265.2599060380332,205.66891291404286,152.26794621726387,101.11339385003907,131.38387563403506,172.2050442092533
4,90.64417409058159,166.6147315514721,141.4224230444263,157.3857545632438,90.64417409058159,112.82440112208636,139.69606831104937
5,99.9389904046593,161.56693726909185,113.16370297395798,101.57158671060708,121.20873045536625,79.35350205097602,119.82149456385329
6,61.89770046824961,133.08293822760743,81.14702404382884,91.9212291122488,133.08293822760743,,92.8096950698891
7,72.61992776224042,139.0659495915188,139.0659495915188,89.30782772704183,94.11721261553097,,97.03861642965101
8,64.18296090198673,112.42033946288535,96.56519466333216,83.51797021059974,82.88233422633893,,91.39516591905515
9,81.4103067375731,146.84519173730948,88.10042556447114,143.5905239726673,146.84519173730948,,111.12584453425663
10,105.29672916692483,218.59275742866038,193.31101861312754,133.75097685983312,205.0210178655893,,174.26265692283414
11,141.72041040525622,235.57814381591513,235.57814381591513,162.9925534923032,148.19658308217265,,167.5098469447583
12,159.88565610588608,263.44199360727595,263.44199360727595,216.40878940155812,183.65352667307448,,208.39077365107346
